symbol,price,float_shares
TIF,121.81,108.57M
TJX,55.3,1.2B
TSCO,136.76,115.63M
TT,116.19,238.58M
TDG,501.93,53.64M
TRV,113.74,252.33M
TFC,37.91,1.34B
TWTR,38.19,770.63M
TYL,325.41,39.65M
TSN,61.57,286.34M
UDR,34.62,292.03M
ULTA,233.25,54.09M
USB,36.72,1.5B
UAA,10.95,357.14M
UA,9.74,357.14M
UNP,188.66,677.56M
UAL,37.28,289.96M
UNH,307.25,944.55M
UPS,156.45,706.75M
URI,172.37,71.76M
UHS,109.32,75.33M
UNM,18.77,202.5M
VFC,68.38,360.56M
VLO,48.73,406.11M
VAR,173.31,90.65M
VTR,43.83,371.64M
VRSN,196.81,106.03M
VRSK,178.09,160.59M
VZ,59.96,4.14B
VRTX,258.61,260.09M
VIAC,28.71,549.65M
V,200.12,1.68B
VNO,35.54,178.06M
VMC,122.37,132.07M
WRB,62.31,140.12M
WAB,67.64,179.81M
WMT,138.45,1.39B
WBA,36.1,718.26M
DIS,134.2,1.8B
WM,110.46,421.16M
WAT,204.37,61.59M
WEC,95.59,314.68M
WFC,23.97,4.11B
WELL,60.05,416.59M
WST,262.62,73.28M
WDC,36.45,301.14M
WU,22.61,408.84M
WRK,31.94,255.6M
WY,28.09,743.86M
WHR,168.32,61.64M
WMB,20.48,1.21B
WLTW,203.13,128.19M
WYNN,82.68,96.29M
XEL,69.11,524.2M
XRX,18.65,176.18M
XLNX,97.69,243.72M
XYL,81.35,179.14M
YUM,93.68,300.72M
ZBRA,249.26,52.83M
ZBH,138.28,206.78M
ZION,32.22,161.45M
ZTS,153.51,474.51M
